"snsname","snshandle","datetime","text","likes","comments","shares","postlink"
"Scottish Green Party","ScottishGreens","2021-03-16 21:52:34 CET","Scottish Green MSPs will be crucial to securing a pro-independence majority in the next Parliament. We are committed to an independence referendum, and to winning independence so that we can build a fairer, greener Scotland. 🏴󠁧󠁢󠁳󠁣󠁴󠁿",180,19,26,"https://www.facebook.com/17999726169/posts/10159150742136170"
"Scottish Conservatives","ScottishConservatives","2021-03-16 20:26:46 CET","Don't split the pro-UK vote and let the SNP in 👇",367,62,113,"https://www.facebook.com/136308776480/posts/10157824148831481"
"Scottish National Party (SNP)","theSNP","2021-03-16 20:23:31 CET","🏴󠁧󠁢󠁳󠁣󠁴󠁿 BREAKING: The Scottish Parliament has just passed the UNCRC Bill to deliver a children's rights revolution. 💛 It puts children's rights at the heart of how we fund, design and deliver policy - and delivers the highest protection for children's rights anywhere in the UK.",1991,698,1957,"https://www.facebook.com/77249349077/posts/10159334891699078"
"Scottish Green Party","ScottishGreens","2021-03-16 19:37:40 CET","🗳️ There are less than 8 weeks until the election. Make sure that you are registered to vote at https://gov.uk/register-to-vote.:=:https://www.gov.uk/register-to-vote Vote like our future depends on it. Vote for the Scottish Greens. #VoteScottishGreens",16,3,0,"https://www.facebook.com/17999726169/posts/10159150509576170"
"Scottish National Party (SNP)","theSNP","2021-03-16 19:01:21 CET","🙌 Thanks to our success in suppressing COVID in Scotland, we can look forward to the easing of more restrictions. 💇 From 5 April, hairdressers and barbers will be able to take appointments. 👉 For the full timetable of lockdown easing, check here: https://www.gov.scot/publications/coronavirus-covid-19-timetable-for-easing-restrictions/",1122,652,168,"https://www.facebook.com/77249349077/posts/10159334713414078"
"Scottish Green Party","ScottishGreens","2021-03-16 18:35:39 CET","""Climate science gives us just nine years to reverse climate breakdown. Only the Scottish Greens offer the solutions to act now, which is why we are asking people to vote like our future depends on it on 6 May."" #VoteScottishGreens",89,19,8,"https://www.facebook.com/17999726169/posts/10159150365646170"
"Scottish National Party (SNP)","theSNP","2021-03-16 18:20:10 CET","🏴󠁧󠁢󠁳󠁣󠁴󠁿 First Minister Nicola Sturgeon has set out the plan for Scotland’s route out of lockdown. 🗓 From 26 April, all shops can open. Hospitality venues such as cafes or restaurants will also be able to open until 8pm indoors, 10pm outdoors. 💻 Read more: https://www.gov.scot/publications/coronavirus-covid-19-timetable-for-easing-restrictions/",1449,693,208,"https://www.facebook.com/77249349077/posts/10159334636039078"
"Scottish Green Party","ScottishGreens","2021-03-16 17:45:48 CET","Our fantastic MSPs are asking you to vote like Scotland's future depends on it. #VoteScottishGreens 💚🏴󠁧󠁢󠁳󠁣󠁴󠁿",116,14,15,"https://www.facebook.com/17999726169/posts/10159150272276170"
"Scottish Liberal Democrats","ScotLibDems","2021-03-16 17:25:40 CET","Scottish Liberal Democrats have today called for an expert commission into violence against women and girls and for it to report back to Parliament with recommendations within a year",2,0,0,"https://www.facebook.com/397986050296687/posts/3843630099065581"
"Scottish Conservatives","ScottishConservatives","2021-03-16 17:20:57 CET","We need to stop these sleazy and secretive chancers getting a majority in May - and take Scotland's future out of their hands. Don't let them away with the abuses of power, cover ups, dishonesty, deceit, and outright lies to the Scottish Parliament.",1349,351,255,"https://www.facebook.com/136308776480/posts/10157823821866481"
"Scottish Green Party","ScottishGreens","2021-03-16 16:48:56 CET","We want to build a fairer, greener Scotland. Vote like our future depends on it this May. Vote for the Scottish Greens. 💚🌈",59,5,7,"https://www.facebook.com/17999726169/posts/10159150202221170"
"Scottish Liberal Democrats","ScotLibDems","2021-03-16 16:40:00 CET","If nothing changes, Scotland may be the only part of the U.K. without indicators. The First Minister told us the priority was data so that should have been published in the statement. Willie Rennie",9,2,0,"https://www.facebook.com/397986050296687/posts/3843626072399317"
"Scottish Liberal Democrats","ScotLibDems","2021-03-16 16:20:42 CET","The Government’s Integrated Review is not strategic, not integrated, and not a proper review. Rather, it is full of retreat and broken promises. Jamie Stone",6,1,0,"https://www.facebook.com/397986050296687/posts/3843484909080100"
"Scottish National Party (SNP)","theSNP","2021-03-16 16:05:41 CET","💉 Over 1,943,507 people in Scotland have now been vaccinated with the first dose. 🏴󠁧󠁢󠁳󠁣󠁴󠁿 That is already more than 40% of the adult population - including virtually all over-65s and those most vulnerable. 👏 Thank you to our NHS heroes and all those who've had their jag.",830,374,117,"https://www.facebook.com/77249349077/posts/10159334375884078"
"Scottish Conservatives","ScottishConservatives","2021-03-16 14:55:55 CET","The biggest threat to our recovery from Covid is an SNP majority and the indyref2 bill they plan to publish this week. We won’t rebuild if Nicola Sturgeon takes a wrecking ball to Scotland’s recovery by demanding another referendum as early as this year.",337,141,53,"https://www.facebook.com/136308776480/posts/10157823563921481"
"Scottish Green Party","ScottishGreens","2021-03-16 14:48:15 CET","We only have 9 years left to address the climate crisis. That is why, on May 6th, we are asking you to vote like our future depends on it. Vote for the Scottish Greens.",115,24,12,"https://www.facebook.com/17999726169/posts/10159149863901170"
"Scottish Green Party","ScottishGreens","2021-03-16 13:32:40 CET","Across Scotland, our candidates are asking you to vote like our future depends on it on May 6th. #VoteScottishGreens 💚🌈",71,1,11,"https://www.facebook.com/17999726169/posts/10159149620561170"
"Scottish Green Party","ScottishGreens","2021-03-16 12:26:49 CET","Add this frame to your profile photo and show your support for our campaign www.facebook.com/profilepicframes/?selected_overlay_id=503058934049069:=:https://www.facebook.com/login.php?next=https%3A%2F%2Fwww.facebook.com%2Fprofilepicframes%2F%3Fselected_overlay_id%3D503058934049069",43,8,5,"https://www.facebook.com/17999726169/posts/10159149523116170"
"Scottish National Party (SNP)","theSNP","2021-03-16 12:17:02 CET","🚨 The UK government is spending billions of pounds more, on top of a £200 billion Trident renewal, to increase their nuclear weapons stockpile by over 40%. 👶 A shameful sum of money that could be used to tackle child poverty instead. #BairnsNotBombs",877,1208,792,"https://www.facebook.com/77249349077/posts/10159333641359078"
"Scottish Conservatives","ScottishConservatives","2021-03-16 12:13:54 CET","It's now confirmed - Sturgeon will put ""vote SNP for indyref2"" on the ballot paper. But we can stop them together. We blocked an SNP majority and indyref2 in 2016, we can stop them again this May. Give your party vote to the Scottish Conservatives and we'll stop Sturgeon dividing the country all over again.",580,360,64,"https://www.facebook.com/136308776480/posts/10157823352521481"
"Scottish Green Party","ScottishGreens","2021-03-16 12:05:58 CET","""As we build back from this crisis and address the looming climate emergency, we need a recovery that creates jobs and tackles Scotland’s climate emissions."" Vote like our future depends on it. Vote for the Scottish Greens.",197,15,23,"https://www.facebook.com/17999726169/posts/10159149490621170"
"Scottish Liberal Democrats","ScotLibDems","2021-03-16 11:59:35 CET","We need to look at how we prevent violence against women and girls at all levels. A commission looking at areas like education, justice, and council services would be a way to keep these issues at the forefront of people's minds and show a commitment to making things better.",2,1,0,"https://www.facebook.com/397986050296687/posts/3843025935792664"
"Scottish Green Party","ScottishGreens","2021-03-16 11:01:58 CET","This May, we are asking you to vote like our future depends on it. #VoteScottishGreens",106,4,68,"https://www.facebook.com/17999726169/posts/10159149272636170"
"Scottish Green Party","ScottishGreens","2021-03-16 10:11:05 CET","We will be setting out our new election campaign this morning. 👀 We will deliver a fair and green recovery from this pandemic which leaves no-one behind.",54,2,6,"https://www.facebook.com/17999726169/posts/10159149214961170"
"Scottish Conservatives","ScottishConservatives","2021-03-16 08:38:59 CET","THIS is the SNP's top priority today - an indyref2 bill. Can you think of anything more reckless and irresponsible? To stop an SNP majority and halt their plans for indyref2, give your party vote on the peach ballot to the Scottish Conservatives.",350,461,80,"https://www.facebook.com/136308776480/posts/10157823071621481"
"Scottish Conservatives","ScottishConservatives","2021-03-15 21:34:48 CET","Watch this devastating takedown of SNP scandals, sleaze and secrecy as Douglas Ross rattles off the SNP's roll of shame. It's time for this broken Scottish National Party to pay the price for all their abuses of power, cover ups, dishonesty, deceit, and outright lies to the Scottish Parliament.",710,315,124,"https://www.facebook.com/136308776480/posts/10157821473701481"
"Scottish Green Party","ScottishGreens","2021-03-15 20:25:34 CET","The scientists say that we have only 9 years to prevent irreversible damage from climate change. Scotland must do its part to build a fairer, greener world. 🌍💚",38,12,13,"https://www.facebook.com/17999726169/posts/10159147526816170"
